Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
FIFA 22 Ultimate - Steam PC [Online Game Code],39.99,40.0,1,4.1,5,2,1,0,0,0,0,9,6,27,9,2021,5,0,0,1,0,"Reimagined gameplay creates advances across every mode in FIFA 22.
Live out your dreams as you create and manage your custom club in career mode.
Volta Football returns with more flair all over the pitch and new ways to express your style.
Build your dream squad and compete in FIFA Ultimate Team.",4,52
Spongebob Squarepants: Battle for Bikini Bottom - Rehydrated - PC Standard Edition,24.86,0.0,1,4.2,63,37,14,5,0,5,5,1,0,0,0,0,4,0,2,1,0,"Play as spongebob, patrick and sandy and use their unique sets of skills
Thwart plankton's evil plan to rule bikini bottom with his army of wacky robots
Meet countless characters from the beloved series
Brand new horde mode multiplayer for up to two players, online and splitscreen
Restored content that was cut from the original game like the robot squidward boss fight and more",5,64
DEATHLOOP Standard Edition - PC,39.99,20.0,1,4.5,11,7,2,1,0,0,12,1,0,0,0,0,1,1,2,1,0,"Deathloop is a next-gen first person shooter from arkane Lyon, the award-winning studio behind Dishonored
In deathloop, two Rival Assassins are trapped in a mysterious timeloop on the island of blackreef, doomed to repeat the same day for Eternity
As colt, the only chance for Escape is to end the cycle by assassinating eight key targets before the day resets
Learn from each cycle - try new paths, Gather Intel, and find new weapons and abilities, and do whatever it takes to break the loop",4,85
Destroy All Humans! - PC,15.5,14.49,1,4.5,39,28,6,2,0,1,5,1,0,0,0,0,4,0,2,1,0,"Experience the evil side of a 50s alien invasion story
Enjoy Crypto's unique weaponry like the Anal Probe Gun
Pose as pathetic humans to infiltrate their fragile democracy
Use psychokinesis to send enemies flying or bombard them with random objects
Includes the restored, much-rumored, never before seen: Lost Mission of Area 42!",5,52
Farming Simulator 22 Collector's Edition - PC,79.99,0.0,1,4.3,19,15,0,0,2,1,104,7,0,0,0,0,5,0,2,1,0,"400+ machines, new categories, 100+ agricultural brands Family-friendly, relaxed multiplayer mode for 1-16 players New crops & machinery: grapes, olives and sorghum
Seasonal cycles add new gameplay mechanics Production chains add new economic layer
Vastly improved customization Performance boost on all systems
Latest technology: DirectX 12, TAA, AMD FidelityFX Super Resolution etc
Two brand-new maps + updated alpine map",5,59
The Outer Worlds - PC [Online Game Code],59.99,0.0,1,4.6,25,20,1,2,0,1,52,3,3,23,10,2020,7,0,0,1,0,"The player-driven story RPG: In keeping with the Obsidian tradition, how you approach The Outer Worlds is up to you. Your choices affect not only the way the story develops; but your character build, companion stories, and end game scenarios.
You can be flawed, in a good way: New to The Outer Worlds is the idea of flaws. A compelling hero is made by the flaws they carry with them. While playing The Outer Worlds, the game tracks your experience to find what you aren't particularly good at. Keep getting attacked by Raptidons? Taking the Raptiphobia flaw gives you a debuff when confronting the vicious creatures, but rewards you with an additional character perk immediately. This optional approach to the game helps you build the character you want while exploring Halcyon.
Lead your companions: During your journey through the furthest colony, you will meet a host of characters who will want to join your crew. Armed with unique abilities, these companions all have their own missions, motivations, and ideals. It's up to you to help them achieve their goals, or turn them to your own ends.",3,186
The Sims 4 Snowy Escape - PC (Online Game Code),24.98,15.02,1,4.7,786,652,78,31,7,15,0,2,4,13,11,2020,5,0,0,1,0,"CHASE YOUR THRILLS - Test your Sim’s skill and endurance with activities on the mountainside
FIND YOUR ZEN - Let your Sim’s worries float away in the natural hot springs, then unwind over hot pot around the kotatsu table
CREATE YOUR SANCTUARY - With traditional details or modern touches of Japanese-inspired furniture and décor
DEFINE YOUR LIFESTYLE - Unlock new personality and relationship effects with the introduction of Lifestyles and Sentiments",4,71
NBA 2K22: 75th Anniversary Edition - PC [Online Game Code],59.99,40.0,1,4.4,15,10,3,0,0,1,6,9,0,10,9,2021,5,0,0,1,0,"A WORLD OF BASKETBALL: NBA 2K22 puts the entire basketball universe in your hands. PLAY NOW in real NBA and WNBA environments against authentic teams and players.
Build your own dream team in MyTEAM with today’s stars and yesterday’s legends.
Live out your own pro journey in MyCAREER and experience your personal rise to the NBA.
Flex your management skills as a powerful Executive in MyGM and MyLEAGUE.",4,68
Star Wars Squadrons - Steam PC [Online Game Code],39.99,0.0,1,4.3,325,214,52,29,13,16,0,9,6,2,10,2020,5,0,0,1,0,"Master the art of starfighter combat in the authentic piloting experience Star Wars: Squadrons.
Step into cockpits of starfighters from the New Republic and Imperial fleets and fight in 5 vs. 5 space battles.
Take control of starfighters such as the X-wing and TIE fighter and customize your loadout and cosmetics.
Learn what it means to be a pilot in a thrilling Star Wars single-player story set after Return of the Jedi.
The New Republic fights for freedom. The Empire demands order. We need you to join the galaxy's finest.",5,90
Apex Legends Octane Edition - PC [Online Game Code],19.99,0.0,1,4.3,87,60,9,6,6,5,0,2,0,19,2,2020,5,0,0,1,0,"Apex Legend Octane Edition includes:
Legendary ""Arachnoid Rush"" Octane skin and Charge Rifle skin.
Exclusive ""Violet Widow"" gun charm.
Exclusive ""Venomous"" badge.
1,000 Apex Coins",5,25
Mafia: Trilogy - PC [Online Game Code],30.0,29.99,1,4.4,23,13,4,5,0,0,6,2,0,19,5,2020,5,0,0,1,0,Includes all DLC for Mafia II and Mafia III,1,9
Civilization VI: New Frontier Pass - PC [Online Game Code],26.66,13.33,1,4.5,41,31,3,2,1,2,6,4,0,21,5,2020,5,0,0,1,0,"Continue your quest to build your greatest empire with the Civilization VI - New Frontier Pass
Featuring eight new civilizations and nine new leaders
Exclusive bonus: Teddy Roosevelt and Catherine De Medici Persona Packs",3,34
For Honor Marching Fire Expansion [Online Game Code],29.99,0.0,1,4.1,11,5,2,2,0,0,1,1,0,16,10,2018,7,0,0,1,0,"Get instant access to a fourth faction of warriors – The Wu Lin, featuring four new heroes from the Far East.
Conquer Ashfeld as The Tiandi, wield the mighty guandao as the Jiang Jun, master the hook swords of the Nuxia, and outplay rivals as the nimble Shaolin.
The new Arcade Mode offers an endless solo or co-op battle experience, with all progression carried over to multiplayer.
With For Honor Marching Fire, all players will have access to Breach, a new strategic 4v4 PvP mode where you'll attack and defend a castle.
With For Honor Marching Fire, all players will get closer to the action than ever before with significant graphical enhancements for the full game.",5,116
NBA 2K21 Mamba Forever - PC [Online Game Code],66.66,33.33,1,4.1,22,14,3,1,1,2,6,9,0,4,9,2020,7,0,0,1,0,"This edition includes 100,000 Virtual Currency, 10,000 MyTEAM points, MyTEAM packs, digital items for your MyPLAYER, and more!",1,18
Cuphead [Online Game Code],19.99,0.0,1,4.1,273,182,19,21,10,38,112,1,0,29,9,2017,4,3,0,1,0,"Colossal boss battles. Encounter a plethora of massive, multiform bosses in single player or local co-op action.
The all-cartoon Magical Wondergame. Cuphead designers used traditional hand drawn cel animation and watercolor backgrounds coupled with a hot jazz soundtrack to bring players an original gaming experience.
Action-filled adventure. Featuring skill-based, challenging gameplay with multiple difficulties. Mix and match weapons, abilities and super moves!
Run and Gun. Traverse through wondrous action-platforming levels to gather gold while battling relentless foes.",4,77
"Apex Legends - 2,150 Apex Coins [Online Game Code]",19.99,0.0,1,4.2,728,524,50,36,7,109,0,1,0,11,2,2019,5,0,0,1,0,Purchase apex coins to customize your character.,1,7
Battlefield 2042 Gold - Steam PC [Online Game Code],69.99,20.0,0,2.8,38,12,3,1,3,17,0,1,3,11,11,2021,5,0,0,1,0,"The Battlefield 2042 Gold Edition contains:
Early access to game launch (Playable on 11/12)
Year 1 Pass: 4 new specialists (1 per season), 4 battle passes (1 per season)
3 epic skin bundles (Blistered Earth, Tempest and Cold Blood)",4,39
Jewel Quest The Crown Collection (PC Games),39.95,0.0,0,3.8,193,100,28,19,9,32,103,8,9,0,0,0,14,0,2,1,0,Brand New in box. The product ships with all relevant accessories,1,11
The Witcher Enhanced Edition JC,9.99,0.0,1,4.3,50,35,4,3,2,3,8,3,0,0,0,0,1,1,2,1,0,"Reinvigorating the role-playing genre with a fresh and modern approach
The Witcher combines unrivalled story and character development in an original, vibrant world with tactically-deep real-time combat
Challenging view of good and evil that will intrigue RPG players of all levels",3,41
Anno 1404 History Edition - PC [Online Game Code],14.99,0.0,0,3.6,6,3,0,0,0,2,1,4,0,25,6,2020,9,9,0,1,0,"Expand your empire with the Venice expansion, including co-op and competitive multiplayer, as well as new features, ships, quests, and items
Experience updated and expanded multiplayer functionality
Take advantage of improvements like borderless window mode and multi-screen support
Includes bonus content: Anno 1404 soundtrack, wallpaper, and a company logo for Anno 1800",4,52
Hoyle Official Card Games (for Windows) [Download],19.99,0.0,0,2.9,509,162,55,61,50,178,67,10,0,18,11,2015,1,5,0,1,0,"Over 70 new and classic card games to learn, practice and master!
Put yourself in the game or create silly faces with the new and improved Face Creator
The challenges never stop with a variety of different in-game opponents.
Select from a variety of characters, speed of play, and more!
Dozens of backgrounds and cards to choose from!",5,58
The Sims 4 Cottage Living - PC,24.22,15.77,1,4.6,138,111,13,5,1,5,0,7,0,0,0,0,17,13,2,1,0,"RAISE OR BEFRIEND ANIMALS - The cottage cow provides fresh (flavored!) milk for everyone while chickens lay eggs in the coop.
LIVE OFF THE LAND - Make cooking and gardening fun for the whole family.
EMBRACE VILLAGE LIFE - Henford-on-Bagley is a cozy village where everyone knows everyone.
GNOME ON THE GO – Purchase before September 2, 2021 to get the “Gnome on the Go” bonus items.",4,67
Sid Meier's Civilization VI - PC,20.92,4.08,1,4.2,932,587,149,93,37,74,41,1,0,0,0,0,4,3,2,1,0,"EXPANSIVE EMPIRES: See the marvels of your empire spread across the map like never before.
ACTIVE RESEARCH: Unlock boosts that speed your civilization's progress through history.
DYNAMIC DIPLOMACY: Interactions with other civilizations change over the course of the game.
COMBINED ARMS: Expanding on the “one unit per tile” design, support units can now be embedded with other units.",4,58
Code Vein - Deluxe Edition [PC Online Game Code],79.99,0.0,1,5.0,7,7,0,0,0,0,19,1,0,27,9,2019,6,5,0,1,0,"In the not too distant future, a mysterious disaster has brought collapse to the world as we know it. Towering skyscrapers, once symbols of prosperity, are now lifeless graves of humanity’s past pierced by the Thorns of Judgment. At the center of the destruction lies a hidden society of Revenants called Vein.
This ﬁnal stronghold is where the remaining few ﬁght to survive, blessed with Gifts of power in exchange for their memories and a thirst for blood. Give into the bloodlust fully and risk becoming one of the Lost, ﬁendish ghouls devoid of any remaining humanity.
Wandering aimlessly in search of blood, the Lost will stop at nothing to satisfy their hunger.
Team up and embark on a journey to the ends of hell to unlock your past and escape your living nightmare in CODE VEIN.",4,137
Encore Classic Casino Games - [PC Download],19.99,0.0,0,3.7,43,20,6,6,3,6,105,10,13,8,9,2019,4,3,0,1,0,"Over 600 variations on authentic casino games
Try your luck at Blackjack, Roulette, Craps, Keno, Pai Gow, Baccarat, even Poker Tournaments
100’s of Uniquely themed multi-lined and progressive video and reel spinner slots.
Compete again 25 in-game characters each with their own unique strengths-choose wisely! Don’t’ forget to create your own customized character.
Large playing cards for easy visibility, fast game play, adjustable skill levels, and in-game currency-the more you play, the more you earn",5,75
DRAGON QUEST XI S: Echoes of an Elusive Age Definitive - PC [Online Game Code],39.99,0.0,1,5.0,3,3,0,0,0,0,3,3,1,4,12,2020,5,0,0,1,0,"Unravel an Epic Mystery in a Riveting Tale – DRAGON QUEST XI tells the tale of a hunted hero: denigrated as a demon and pursued by a malicious monarch, you must embark on a quest to unravel the mystery of your fate and save a doomed world. At the heart of the game is an immersive story with twists and turns that pull you in and keep you craving more – from the opening cutscene to the final credits!
Assemble a Colorful Cast of Loyal Companions – Accompanying the hero on his quest is an endearing band of adventurers with their own rich backstories and personalities as diverse as their designs. The Definitive Edition adds new story scenarios to learn more about some of your favorite companions.
Explore a Beautiful, Living World in 3D or 2D – Switch between 3D HD or 2D 16-bit modes to explore the massive, gorgeous world or Erdrea. Excitement lurks around every corner as players explore populous cities, quaint villages, magnificent castles, and dark dungeons. NPC’s attend to their daily schedules, monsters change behaviors to fit their environments, and players can access new areas with the use of monstrous vehicles.
Personalize your Adventure – Customize your audio experience by selecting options for the original in-game soundtrack or a new orchestral version of the music, as well as English or Japanese voice audio. Spice up the adventure with three new Draconian Quest settings that challenge even the most seasoned adventurers.
Engage in Classic Battles with a Modern Twist – DRAGON QUEST XI’s strategic battle system eases players into combat with an accessible experience that features mechanics simple enough for the novice but with enough depth to satisfy hardcore fans. Vanquish your foes even quicker with the option to speed up battle by 2x or 4x!",5,299
Frost Punk Victorian Edition - PC,31.52,3.47,1,4.1,35,22,3,1,4,2,83,7,0,0,0,0,4,3,1,1,0,"The City Must Survive - Frostpunk is a city-survival game where heat means life and every decision comes with a cost.
Maintain The Hope - Survival is about hope and will to live. Your ability to spark and maintain these two in your people will be a determinant factor for success.
Make The Law - Society is a group of people abiding the same rules and sharing similar beliefs. Establishing laws and customs will be an crucial factor shaping your society.
Weigh Your Choices - Will you allow child-labor? How will you treat the sick and wounded? Frostpunk challenges a player's tactical skills, while questioning one's morality.
Explore - Survival is about hope and will to live. Your ability to spark and maintain these two in your people will be a determinant factor for success.",5,135
SnowRunner Standard - PC [Online Game Code],29.99,0.0,1,4.0,3,2,0,0,0,0,44,7,7,18,5,2021,4,3,0,1,0,"Face extreme environments in a highly advanced physics engine
40 unique vehicles to unlock, upgrade, and customize
Complete dozens of challenging missions across an interconnected world
Go solo or play with other players in 4-player co-op",4,36
FIFA 21: Standard - PC [Online Game Code],59.99,0.0,0,3.8,46,25,6,3,3,7,0,9,0,8,10,2020,6,3,0,1,0,"Win as One in EA SPORTS FIFA 21, powered by Frostbite.
Whether it's on the streets or in the stadium, FIFA 21 has more ways to play than ever before
Including the UEFA Champions League and CONMEBOL Libertadores.",3,38
Borderlands: The Handsome Collection [Online Game Code],59.8,0.0,1,4.4,61,45,4,2,2,5,6,1,0,3,4,2019,9,0,0,1,0,"The critically acclaimed BORDERLANDS 2 and BORDERLANDS: THE PRE-SEQUEL games in one package
All bonus add-on content for both games, adding hundreds of hours of gameplay at an incredible value",2,30
Guild Wars 2: The Path of Fire Digital Deluxe [Online Game Code],37.48,17.51,1,4.6,70,54,8,1,1,3,112,3,0,6,9,2017,6,5,0,1,0,"Guild Wars 2: Path of Fire
Free Guild Wars 2: Heart of Thorns
Living World: The Icebrood Saga
Max-Level Boost and a Lily of the Elon Permanent Pass
Additional Character Slot, an Identity Repair Kit, and a Sunspear Outfit",5,39
Dragon Age Origins: Ultimate Edition - PC,19.76,0.0,1,4.5,553,420,55,33,5,38,0,3,0,0,0,0,1,1,2,1,0,"Includes The 2009 ‘RPG Of The Year’ Dragon Age: Origins, The Dragon Age: Origins - Awakening Expansion Pack, Plus All Nine Additional Content Packs
Critically acclaimed winner of more than 50 awards including over 30 ‘Best Of 2009’ awards
A tremendous $114 value at one low price
Critically acclaimed winner of more than 50 awards including over 30 ‘Best of 2009' awards. A tremendous $112 value at one low price",4,70
Just Cause 2 [Online Game Code],14.99,0.0,1,4.2,251,163,30,25,12,20,3,2,3,1,3,2010,1,3,0,1,0,"Multi-point vehicle movement: Every vehicle has multiple points inside and out to move between in real-time, not cut scenes, jumping between multiple positions on a single vehicle or to other vehicles¿ with over 100 vehicles
Air, land, water and underwater: Just Cause 2 delivers action everywhere from 500 feet above to 50 feet below through jungles, snowy mountainside, deserts, cities and more, with over 600 square miles to explore and destroy
Nearly endless and open-ended game-play: From deep missions to small jobs, to free exploration, players follow the route they want when they want
Grapple nearly everything within 200 feet, including enemies. Progressive destruction - vehicles, building, enemies, and landscape. Pull off amazing stunts with Rico's re-designed parachute
Weapons galore: Single and dual handed weapons, rocket launchers, grenade launchers, explosives, and vehicle mounted weapons",5,134
"Complete Franchise Collection: Hunting Unlimited, 18 Wheels of Steel, Prison Tycoon - 20 Games",17.95,0.0,0,3.8,44,18,11,8,1,4,15,20,4,0,0,0,9,9,2,0,0,"20th Anniversary Complete collection of 3 Classic Franchises including 20 games total!
Includes: 18 Wheels of Steel Extreme Trucker 1 and 2, American Long Haul, Haulin', Convoy, Across America. Take the Wheel of a fast paced, high intensity trucking business. Start as one man show, bidding on jobs, then build your fleet into an unstoppable convoy and deliver the goods. Grow your business and your fleet, but beware - Your reputation is everything. Fail at your job or pass on the wrong offer and you'll find yourself haulin' manure!
Includes Prison Tycoon 1, 2, 3, 4, Alcatraz. Take the reigns of privately run prisons. You are responsible for the care, custody, and control of the individuals who have been arrested. Begin with a low security prison and build it up to a supermax From construction to daily operations you must protect society while turning a profit.
Includes: Hunting Unlimited Trophy Collection, 4, 2008, 2009, 2010, 2011 - Become the Ultimate Hunter. Use an Arsenal of weapons from bows to bullets, traveling around the globe to hunt big game and small prey. Hunt in over a hundred locations to bring home your virtual trophies.",4,193
Tom Clancy’s The Division 2 Warlords of New York Expansion - PC [Online Game Code],29.99,0.0,1,5.0,1,1,0,0,0,0,1,1,3,1,4,2021,4,3,0,1,0,"The Division 2 – Warlords of New York is an expansion to The Division 2 and requires the base game to be accessed.
Includes a level 30 boost, allowing you to jump right into the Warlords of New York campaign
Play solo or online co-op
Explore two open worlds: Washington, DC, and New York City",4,55
Kingdoms of Amalur Re-Reckoning FATE Edition - PC [Online Game Code],54.99,0.0,1,4.6,10,6,1,1,0,0,5,3,0,8,9,2020,4,3,0,1,0,"Build the ideal character for the most intense combat, choosing from a countless combinations of skills, abilities, weapons and pieces of armor.
The revolutionary Destiny system allows you to continuously evolve your character class to your style of play.
Seamlessly integrate magical and melee attacks as you take on scores of enemies in grand fight sequences and finish them off with brutal Fateshift kills.
Extend your experience in Amalur with all DLC from the original release, from Teeth of Naros to Legend of Dead Kel and more!
Hundreds of hours of RPG play await! Travel from the vibrant city of Rathir, to the vast region of Dalentarth, and the grim dungeons of the Brigand Hall Caverns as you uncover the secrets of Amalur!",5,123
Dark Souls Remastered [Online Game Code],39.99,0.0,1,4.3,38,25,5,4,1,1,19,3,0,23,5,2018,7,0,0,1,0,"Delve into an epic dark fantasy universe stricken by decline and the Curse. Explore its intricate world design - full of hidden passages, dungeons and secrets - and uncover its deeply rooted lore
Each playthrough surprises you with new challenges and unexpected facets of the game. Don't bet on completing the game only once
Hundreds of unique combinations of weaponry, armor, magic and crafting options to create your own playstyle and gaming experience
From your first steps to mastery, build your character while refining your playing skills. Learn to strategize freely and experience the rewarding taste of overcoming daunting foes
Whatever your motivations are to play online - collaboration or confrontation, support or betrayal - you'll find your true home among the nine covenants. Which allegiance will you choose?",5,129
Starcraft II: Battle Chest [Online Game Code],39.99,0.0,1,4.4,54,40,4,4,0,4,23,4,0,20,12,2016,6,1,0,1,0,"Play through three sweeping single-player campaigns with a combined total of over 70 missions from Wings of Liberty, Heart of the Swarm and Legacy of the Void.
Group up online with other players in Co-Op Commander Mode and play as Raynor, Kerrigan, Artanis, Swann, Zagara, Vorazun or Karax.
Play a new Co-Op scenario every week as your Commanders gain experience and adapt to an ever-shifting battlefield.
Command all multiplayer units and begin your ascent of a vast competitive ladder with leagues for every level of play.
Challenge your foes in any game mode, including ranked, unranked, tournament and custom—all across a steady rotation of battlegrounds. also unlocks Artanis in Heroes of the Storm",5,113
Mafia III: Definitive Edition - PC [Online Game Code],9.9,20.09,0,3.9,4,2,0,0,1,0,6,2,0,19,5,2020,5,0,0,1,0,"NEW BORDEAUX, LA: A vast world ruled by the mob and detailed with the sights and sounds of the era.
A LETHAL ANTI-HERO: Be Lincoln Clay, orphan and Vietnam veteran hell bent on revenge for the deaths of his surrogate family.
REVENGE YOUR WAY: Choose your own play-style; brute force, blazing guns or stalk-and-kill tactics, to tear down the Mafia.
A NEW FAMILY ON THE ASHES OF THE OLD: Build a new criminal empire your way by deciding which lieutenants you reward, and which you betray.
Own Mafia III: Definitive Edition to unlock Lincoln’s Army Jacket and Car in both Mafia and Mafia II Definitive Editions.",5,106
Life Is Strange: True Colors Ultimate - PC [Online Game Code],79.99,0.0,1,4.3,7,5,0,0,0,1,3,2,0,10,9,2021,6,5,0,1,0,"THE TRUTH WILL HURT,Discover the shocking secrets behind your brother’s death in an emotional roller-coaster of an adventure.
FEEL EVERYTHING,Change fate and change lives with the psychic power of Empathy.
FORGE DEEP RELATIONSHIPS,Build trust with the townsfolk – and embrace friendship or romance with Ryan and Steph.
A TRULY PERSONAL STORY,Make tough decisions and choose your own future. Freely roam the streets, stores, and hidden spaces of Haven Springs and meet unforgettable characters.",4,73
Blitzkrieg Anthology - PC,29.95,0.0,1,4.4,34,24,2,4,0,2,78,4,0,0,0,0,3,1,1,1,0,"Play the original Blitzkrieg where you'll prove your tactical skills in historical battles of World War II all around the globe. Attack is the only defense!
In Blitzkrieg - Burning Horizon the action continues as you jump into World War II's most dramatic battles
Blitzkrieg - Rolling Thunder lets you relive more strategy, with more realism and advanced gameplay
Bonus - Add-on Iron Division comprising 16 missions and 4 multiplayer maps",4,71
Monster Jam Steel Titans 2 Standard - PC [Online Game Code],29.99,0.0,1,5.0,2,2,0,0,0,0,5,14,0,2,3,2021,4,3,0,1,0,"More Trucks! New Worlds! Monster Jam Steel Titans 2!
Monster Jam Steel Titans 2 features more fan-favorite trucks in brand new Monster Jam worlds
Perform your favorite stunts! Bicycles, Stoppies, Moonwalks, Walk Its, Cyclones, Pogos, Power Outs and Back-Flips!
Improved Gameplay! Enjoy a range of improvements in physics, career and exploration!",4,51
Darksiders Franchise Pack [Online Game Code],49.99,0.0,1,5.0,3,3,0,0,0,0,5,3,0,5,11,2015,6,5,0,1,0,"Includes:
Darksiders - Warmastered Edition
Darksiders II - Deathinitive Edition
Darksiders II - Deathinitive Edition: Soundtrack",4,16
Memoria [Online Game Code],19.99,0.0,0,2.4,3,0,0,0,0,1,112,2,0,30,8,2013,1,5,0,1,0,"Epic fantasy soundtrack and high quality voiceover to draw you deep into the game
Dive into the world of The Dark Eye, and explore mystical places such as Draconia, an ancient temple built by dragons
Follow the story of two unique characters through two different time periods
Beautifully hand-drawn 2D backgrounds and high quality 3D game characters
From the creator of The Dark Eye: Chains of Satinav, The Whispered World and Deponia",5,72
The Escapists 2 [Online Game Code],19.99,0.0,0,3.8,20,10,3,0,2,3,108,7,0,21,8,2017,6,3,0,1,0,"10 Prisons
Up to 4 player co-operative and versus multiplayer
Drop-in/ Drop-out Online/Splitscreen multiplayer
Over 300 customisations
Multi-storey Prisons",5,19
Seek and Find Adventures 3 (4 Game Pack),15.95,0.0,1,4.2,42,24,9,2,3,2,66,11,1,0,0,0,17,15,1,1,0,"4 Great Hidden Object Games - 1 Low Price! Thrilling Mysteries, Challenging Puzzles, Hours of Fun! Plus a Free Bonus Game Inside!
Golden Trails 2: The Lost Legacy - After your Grandfather is accused of piracy and condemned to death, it's up to you to discover the truth and save his life.
Psych - Play as Shawn and Gus and nab the suspects by using Shawn's heightened observational skills and Gus's sense of humor!
Voyage to Fantasy: Part 1 - Journey to a land of legends and fairytales where you will be challenged to fight the black holes threatening the world.
Escape From Lost Island - Left stranded on an uncharted island, use your wits to find shelter, avoid pirates, escape from the natives and signal civilization to organize your rescue!",5,131
A Date with Danger: Amazing Hidden Object Games (4 Pack),17.95,0.0,1,4.2,59,39,5,6,2,5,66,11,1,0,0,0,17,15,2,1,0,Brand New in box. The product ships with all relevant accessories,1,11
